키,몸무게,체지방율,성별
1664.0,47.2,12.0,남
1734.0,61.2,18.9,남
1745.0,111.0,31.3,남
1718.0,60.7,10.1,남
1734.0,74.6,22.8,남
1883.0,65.8,13.2,남
1786.0,75.6,10.6,남
1712.0,76.8,22.6,남
1680.0,64.5,18.3,남
1698.0,76.7,24.2,남
1641.0,64.9,21.0,남
1620.0,60.8,14.8,남
1581.0,59.4,34.3,여
1604.0,60.7,33.1,여
1514.0,52.9,33.7,여
1585.0,72.1,36.9,여
1565.0,64.3,35.5,여
1480.0,50.7,34.8,여
1580.0,54.8,26.1,여
1723.0,58.9,22.9,여
1710.0,64.3,31.8,여
1587.0,47.7,25.5,여
1479.0,48.6,38.3,여
1609.0,62.4,35.3,여
1444.0,58.9,40.4,여
1560.0,48.7,28.2,여
1580.0,50.5,29.1,여
1531.0,49.7,27.2,여
1638.0,62.5,34.0,여
1575.0,49.5,20.3,여
1654.0,63.9,26.1,여
1610.0,49.5,19.2,여
1628.0,61.7,24.6,여
1646.0,54.2,26.1,여
1541.0,56.8,28.5,여
1585.0,65.7,37.0,여
1580.0,54.3,25.0,여
1553.0,53.6,25.0,여
1508.0,67.3,34.6,여
1580.0,58.4,27.0,여
1580.0,56.2,29.6,여
1539.0,47.5,21.5,여
1583.0,57.0,35.2,여
1499.0,48.0,25.8,여
1547.0,57.0,31.5,여
1537.0,53.0,33.8,여
1591.0,57.6,31.5,여
1521.0,56.5,28.0,여
1440.0,42.8,17.3,여
1549.0,49.9,26.5,여
1580.0,85.6,44.9,여
1592.0,45.7,24.6,여
1550.0,39.5,21.6,여
1580.0,54.6,25.7,여
1527.0,56.1,34.9,여
1495.0,51.6,26.2,여
1630.0,66.4,39.1,여
1604.0,58.8,30.1,여
1510.0,62.9,33.4,여
1500.0,44.2,24.7,여
1596.0,61.5,34.7,여
1571.0,39.8,19.4,여
1541.0,53.8,33.3,여
1565.0,66.3,34.7,여
1612.0,60.9,27.2,여
1583.0,60.7,29.5,여
1585.0,63.6,38.1,여
1534.0,49.2,27.3,여
1664.0,67.7,33.6,여
1657.0,63.3,33.0,여
1735.0,61.9,29.9,여
1520.0,68.2,38.6,여
1622.0,48.6,17.8,여
1525.0,68.4,31.6,여
1592.0,64.3,31.6,여
1591.0,51.8,29.6,여
1684.0,72.0,31.4,여
1460.0,52.2,30.1,여
1519.0,57.0,35.5,여
1555.0,48.3,25.7,여
1565.0,50.5,25.1,여
1528.0,59.9,34.9,여
1635.0,61.1,33.2,여
1580.0,65.0,35.0,여
1605.0,64.1,33.2,여
1589.0,76.6,43.1,여
1531.0,38.7,25.6,여
1593.0,56.7,31.2,여
1620.0,58.7,27.4,여
1565.0,46.5,27.5,여
1608.0,55.0,25.4,여
1440.0,50.6,33.2,여
1560.0,58.5,23.1,여
1504.0,46.3,33.1,여
1526.0,55.4,32.8,여
1650.0,62.1,20.2,여
1648.0,50.6,22.4,여
1674.0,64.0,32.8,여
1616.0,64.9,37.5,여
1433.0,39.4,30.0,여
1535.0,67.7,36.8,여
1492.0,48.0,25.3,여
1476.0,54.2,40.6,여
1565.0,69.4,37.5,여
1524.0,55.5,32.6,여
1586.0,64.6,41.2,여
1580.0,52.9,25.1,여
1554.0,62.9,37.8,여
1596.0,58.6,28.0,여
1593.0,50.0,22.8,여
1594.0,59.2,31.4,여
1570.0,57.9,33.1,여
1580.0,52.0,21.6,여
1665.0,55.6,24.2,여
1552.0,50.7,31.3,여
1499.0,55.4,30.2,여
1553.0,51.3,29.0,여
1669.0,54.5,25.8,여
1608.0,56.3,32.6,여
1625.0,71.8,33.5,여
1536.0,72.3,42.7,여
1504.0,59.0,33.9,여
1613.0,53.9,28.8,여
1552.0,62.6,30.7,여
1580.0,67.3,36.4,여
