키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1518.0,49.4,323.0,675.0,21.437957509447454,23.7,1184.0,표준,210.0,172.0,148.0,100.0,218.0,17,여
1621.0,59.2,335.0,700.0,22.52971391449593,31.2,1249.0,표준이하,217.0,175.0,157.0,91.0,229.0,17,여
1687.0,59.6,325.0,703.0,20.941900632087,25.8,1325.0,표준,206.0,171.0,162.0,94.0,245.0,17,여
1607.0,61.2,335.0,740.0,23.698435090102457,37.0,1203.0,표준이하,229.0,181.0,157.0,87.0,225.0,16,여
1569.0,41.4,303.0,612.0,16.81722961733491,27.3,1020.0,표준,227.0,181.0,145.0,86.0,227.0,17,여
1560.0,50.1,325.0,683.0,20.58678500986193,25.7,1174.0,표준,223.0,180.0,143.0,90.0,227.0,16,여
1584.0,49.5,298.0,687.0,19.728535353535353,35.4,1060.0,표준이하,222.0,178.0,157.0,89.0,235.0,17,여
1580.0,49.6,315.0,690.0,19.86861079955135,28.0,1142.0,표준,223.0,176.0,155.0,86.0,223.0,17,여
1527.0,49.2,320.0,633.0,21.100222195632508,31.2,1101.0,표준이하,206.0,169.0,153.0,90.0,224.0,17,여
1651.0,61.8,335.0,725.0,22.67223469358181,18.4,1460.0,표준,229.0,179.0,155.0,99.0,233.0,17,여
1605.0,49.2,304.0,675.0,19.099193524907562,23.6,1182.0,표준,210.0,180.0,149.0,90.0,241.0,17,여
1665.0,63.5,350.0,775.0,22.905788671554436,33.5,1282.0,표준이하,232.0,174.0,151.0,88.0,239.0,17,여
1558.0,49.7,315.0,643.0,20.474885513668323,26.3,1162.0,표준,216.0,167.0,148.0,86.0,224.0,17,여
1561.0,57.9,335.0,765.0,23.761440066384292,39.2,1130.0,표준이하,238.0,182.0,154.0,91.0,231.0,16,여
1583.0,56.6,350.0,710.0,22.586794546765642,30.2,1223.0,표준,228.0,179.0,161.0,98.0,241.0,16,여
1561.0,52.5,335.0,685.0,21.54534721045208,30.5,1158.0,표준이하,223.0,179.0,153.0,88.0,228.0,16,여
